2026-01-11 08:24:56,409 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:24:56,680 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:28:23,769 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:28:23,920 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:31:57,062 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:31:57,196 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:35:35,155 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:35:35,393 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:39:03,307 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:39:03,453 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:42:41,754 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:42:41,923 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:46:30,642 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:46:30,766 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:50:10,370 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:50:10,588 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:53:56,949 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:53:57,134 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:57:51,638 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:57:51,821 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:01:34,211 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:01:34,359 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:05:17,171 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:05:17,299 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:09:05,007 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:09:05,135 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:12:57,712 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:12:57,849 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:16:46,117 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:16:46,257 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:20:38,404 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:20:38,605 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:24:35,809 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:24:35,950 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:28:36,929 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:28:37,106 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:32:34,647 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:32:34,785 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:37:15,573 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:37:15,728 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:41:16,928 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:41:17,058 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:45:20,642 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:45:20,832 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:49:47,241 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:49:47,359 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:53:53,769 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:53:53,883 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 09:58:04,693 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 09:58:04,815 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:02:24,725 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:02:24,889 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:06:43,510 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:06:43,672 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:10:56,988 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:10:57,147 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:15:25,153 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:15:25,327 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:15:34,031 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:15:34,229 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:15:50,083 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:15:50,254 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:16:09,058 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:16:09,200 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:16:29,709 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:16:29,887 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:16:58,435 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:16:58,560 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:17:30,953 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 10:17:31,080 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 10:20:03,320 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
